Irradiance[W/m^2],Temperature[deg C],Humidity[%],Wind Speed[m/s]
167.943,-4.112,25.8,2.575
170.746,-4.034,26.39,2.175
173.698,-4.04,26.14,1.988
176.512,-4.073,26.42,1.775
179.287,-4.097,27.45,1.9
182.261,-4.017,26.34,1.913
185.269,-3.947,26.28,1.8
188.013,-3.899,26.67,1.675
191.035,-3.883,26.74,1.788
193.979,-3.874,26.86,1.763
196.969,-3.88,26.54,1.75
199.673,-3.842,26.78,1.963
202.402,-3.763,26.73,1.938
205.216,-3.71,25.61,2.013
208.016,-3.654,26.02,2.125
210.652,-3.625,25.95,2.3
213.436,-3.584,25.26,2.038
216.333,-3.557,25.78,1.738
219.263,-3.554,25.84,1.613
222.263,-3.525,24.12,2.025
225.075,-3.462,24.67,1.613
228.076,-3.43,25.23,1.55
230.998,-3.409,25.06,1.663
233.652,-3.378,25.79,1.838
236.496,-3.31,26.86,1.788
239.33,-3.265,27,2.063
242.183,-3.242,26.5,2.3
244.993,-3.206,26.26,2.188
247.844,-3.185,26.2,1.788
250.557,-3.146,26.66,2.263
253.329,-3.13,25.87,2.138
256.148,-3.111,26.15,2.125
258.892,-3.065,26.14,2.175
261.683,-3.027,25.81,2.163
264.541,-3.01,26.31,1.975
267.142,-2.98,26.59,1.813
269.719,-2.958,25.64,1.663
272.333,-2.919,25.17,1.563
275.085,-2.894,25.53,1.763
277.723,-2.877,25.93,1.513
280.527,-2.855,25.65,1.738
283.322,-2.819,27.02,1.438
286.038,-2.8,28.57,1.363
288.511,-2.859,29.32,1.538
291.08,-2.893,29.78,1.663
293.736,-2.874,29.09,1.813
296.239,-2.791,27.45,1.588
298.937,-2.697,26.79,1.475
301.307,-2.635,26.44,1.588
303.823,-2.526,25.84,1.45
306.272,-2.454,26.3,1.7
308.657,-2.434,26.33,1.538
311.469,-2.401,25.75,1.475
313.936,-2.338,25.61,1.813
316.533,-2.296,25.62,2.063
318.765,-2.304,26.07,2.05
321.171,-2.375,26.77,1.975
323.938,-2.44,26.89,2.05
326.353,-2.465,27.59,1.663
328.934,-2.475,28.19,1.75
331.308,-2.486,26.8,1.85
333.862,-2.49,27.13,1.588
336.413,-2.451,27.3,1.1
338.72,-2.4,28.23,1.15
341.112,-2.33,27.27,1.388
343.571,-2.224,28.03,0.775
346.003,-2.176,28.27,1.2
348.289,-2.126,26.22,1.488
350.396,-2.029,25.74,1.238
352.793,-1.935,26.05,0.795
354.955,-1.872,25.93,1.6
357.171,-1.779,24.57,1.525
359.28,-1.688,25.15,1.313
361.7,-1.608,25.87,0.893
363.897,-1.502,27.06,0.615
365.714,-1.408,26.48,0.625
368.042,-1.378,25.51,0.785
369.93,-1.359,24.96,0.258
372.412,-1.284,24.89,0.72
374.478,-1.174,24.36,0.567
376.467,-1.046,23.59,0.827
378.545,-0.864,23.53,0.725
380.63,-0.658,24.69,0.43
382.602,-0.458,24.46,0.21
384.596,-0.235,24.18,0.153
386.464,-0.084,24.82,0.165
388.63,0.049,22.2,0.815
390.848,0.037,22.99,0.21
392.995,0.053,22.93,0.117
395.173,0.019,23.88,0.092
396.928,0.049,23.06,0
399.418,0.065,24.62,0.21
401.464,0.079,25.8,0.022
403.796,0.093,23.02,0.235
405.944,0.12,20.92,0
407.921,0.303,21.47,0
410.015,0.424,21.82,0
411.725,0.59,22.44,0
413.62,0.619,22.15,0.105
415.558,0.603,21.73,0
417.622,0.542,21.24,0
419.456,0.59,21.32,0
421.042,0.75,21.67,0.267
422.958,0.912,20.81,0.68
424.918,1.081,20.07,0
427.069,1.31,20.57,0
428.882,1.568,21.03,0
430.708,1.663,20.29,0.715
432.568,1.853,18.95,0
434.483,2.047,20,0.178
436.425,2.111,20.08,0.022
437.999,2.145,21.02,0.21
439.173,2.224,21.22,0.117
440.404,2.381,25.96,0.807
442.079,2.506,30.08,0.757
444.226,2.278,29.91,0.41
445.968,2.052,27.84,0
442.92,1.838,29.08,0.602
447.875,1.649,29.42,1.175
449.151,1.416,28.97,0.917
451.079,1.34,30.57,1.35
452.631,1.199,30.23,1.238
454.055,0.908,29.52,1.238
455.6,0.485,29.69,1.175
457.298,0.03,29.23,1.263
458.515,-0.2,28.69,1.213
460.439,-0.18,29.71,1.613
462.654,-0.306,30.64,1.463
464.143,-0.558,29.61,1.513
465.728,-0.709,29.25,1.45
467.503,-0.841,28.84,1.863
468.902,-0.883,29.87,1.738
470.215,-0.962,29.1,1.688
471.392,-0.907,28.68,1.225
473.276,-0.528,31.18,1.238
474.779,-0.362,30.67,1.225
476.315,-0.412,32.25,1.825
477.677,-0.24,32.16,1.463
478.925,0.089,34.76,1.113
480.021,0.361,34.14,1.338
481.152,0.647,30.23,1.688
482.586,0.829,31.39,1.475
483.927,0.991,30.92,1.338
485.186,1.173,32.86,1.5
486.099,1.398,32.33,1.6
487.551,1.464,32.81,1.375
488.488,1.492,32.91,1.203
489.774,1.626,34.59,1.663
491.024,1.709,34.18,1.325
492.205,1.749,35.75,1.125
493.334,1.83,34.5,1.2
494.621,1.986,34.96,1.263
495.404,2.109,35.46,1.07
496.643,2.028,35.31,1.213
497.656,1.839,36.57,1.003
498.523,1.419,36.25,1.1
499.664,0.888,35.53,1.313
500.683,0.425,33.14,1.463
501.483,0.144,31.97,1.4
502.557,0.122,32.36,1.275
503.205,0.184,32.3,1.5
504.427,0.146,31.94,1.288
505.062,0.08,31.29,1.263
505.952,-0.045,31.12,1.238
506.948,-0.094,31.13,1.35
507.751,-0.218,31.66,0.782
508.733,-0.036,31.25,0.385
509.202,0.227,30.91,1.413
509.86,0.45,30.15,0.943
510.886,0.616,29.88,0.215
511.459,0.843,31.37,0.762
512.64,1.062,32.37,0.71
513.604,1.439,35.44,1.4
513.745,1.718,35.11,1.575
514.214,1.835,34.22,0.53
514.847,1.896,34.63,1.058
515.362,1.995,34.27,0.807
516.304,1.999,33.59,1.475
517.207,1.902,34.59,0.652
517.522,1.766,34.01,1.025
518.258,1.376,34.54,0.988
518.9,1.164,33.95,1
519.494,1.06,32.6,0.502
519.94,1.082,32.61,0
520.659,1.281,32.75,0.057
521.085,1.52,28.08,0.203
521.455,1.786,26.83,0.275
521.875,1.995,27.2,0.913
522.276,2.233,25.98,0.317
522.317,2.362,27.42,0.88
522.428,2.526,27.2,0.447
522.811,2.826,27.87,0.993
523.126,3.008,28.8,0.605
523.415,3.033,26.59,0
523.451,3.1,23.45,0
523.679,3.185,23.89,0.562
524.202,3.263,23.77,0.752
524.509,3.407,23.78,0
524.609,3.615,23.56,0.022
524.904,3.698,23.09,0
524.657,3.568,23.75,0
524.377,3.312,24.33,0
524.022,3.193,25.31,1.053
524.368,3.051,25.04,0.2
524.315,2.994,25.5,0.362
524.38,2.968,24.15,0.447
524.245,2.809,24.22,0.035
524.498,2.792,26.04,0.282
524.539,2.947,28.53,0.622
524.55,3.129,28.85,0.565
